trial_id,mode,runtime_s,dominant_confidence_label,dominant_confidence_score,hallucinated_state_count,hallucinated_number_count,top_state_coverage_rate,numeric_accuracy_rate,risk_match_rate,wastewater_match_rate,enrichment_usage_rate,required_sections_rate,confidence_label_match_rate,low_confidence_disclosure_rate,confidence_score_match_rate,unsupported_confidence_claim_count,confidence_misuse,validity_score_0_100,passed_absolute_validity,grader_overall_score,unsupported_claims,missing_required_elements
1,baseline,4.906,high,1.0,0,0,1.0,0.6666666666666666,1.0,1.0,1.0,0.6,1.0,0.0,1.0,0,"[""The report correctly preserves High confidence for all three states, but it adds 'there are no low-confidence states in the supplied cohort,' which is not directly stated in the structured input and overgeneralizes beyond the listed top states."", ""The report implies certainty about the absence of additional metrics and cohort composition beyond the provided payload, which is not verifiable from the structured input alone.""]",79.42,False,2,"[""The report states that the top cohort is 'mixed' and 'enriched' and refers to a 'short-horizon outlook' and 'forecast', but the structured input only provides top states and national risk level, not any forecast or cohort enrichment."", ""The report says 'No forecast probabilities or national baseline metrics were included in the payload.' Forecast probabilities and baseline metrics are not present in the structured input, but the wording implies a broader payload context not supported by the provided JSON."", ""The report references 'cases_per_100k', 'delta_vs_national', 'agent2.summary_stats.national_avg_cases_per_100k', 'population bucket data', 'data_completeness_flag', and 'demographic data' as if these are relevant missing fields, but none of these appear in the structured input."", ""The report claims 'the lowest-risk cohort in the payload is composed of states labeled low risk, with case-driven signals and high confidence' as a baseline comparison group, which is not explicitly provided as a cohort in the structured input beyond the listed top states."", ""The report says 'Demographic data are included for context only and are not used in risk scoring,' but no demographic data are present in the structured input.""]","[""The report does not explicitly list the three top states in a compact structured summary with their risk levels, case counts, MMR coverage, wastewater signals, and confidence labels together."", ""The report does not explicitly mention MMR coverage values for CO, WI, and PA, which are present in the structured input."", ""The report does not clearly present the exact national risk level as a structured field-style statement separate from narrative text.""]"
1,grounded,2.447,high,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,[],94.25,True,5,[],[]
2,baseline,5.464,high,1.0,0,0,1.0,0.3333333333333333,1.0,1.0,1.0,0.6,1.0,0.0,1.0,0,"[""The report states all three top states are high confidence, which is supported, but it also implies reliability beyond the structured data by saying the short-horizon view is not dominated by low-confidence noise."", ""The report references missing benchmark and completeness fields as if they are part of the payload structure, but these fields are not present in the provided JSON.""]",71.08,False,2,"[""The short-horizon outlook is anchored by a mixed top cohort."", ""The top cohort’s burden is uneven in absolute terms, with WI carrying the largest case count in the cohort, followed by PA and CO."", ""The cohort should be read against the national average cases per 100k from agent2.summary_stats.national_avg_cases_per_100k."", ""The cohort is mixed rather than uniformly elevated, with one state in medium risk and two in low risk, which suggests the national signal is not concentrated in a single pattern."", ""Because the dashboard already shows compact top-state cards, this section is limited to aggregate context rather than state-by-state narrative."", ""No top-cohort states are marked with partial data_completeness_flag in the provided payload."", ""The lowest-risk cohort in the provided payload is represented by the two low-risk states, which together form the baseline comparison group against the single medium-risk state."", ""Their signals are case-led rather than wastewater-led, and their confidence is high, indicating a comparatively steadier baseline within the top cohort."", ""Watch for wastewater-led changes that could shift the signal mix before case counts move materially."", ""Monitor whether the cohort’s burden remains above the national baseline once the national per-100k benchmark is available."", ""Keep an eye on any confidence downgrades or completeness issues that could weaken interpretation.""]","[""Explicit listing of the three top states with their state codes, risk levels, case counts, wastewater signals, and confidence labels/scores in a compact structured summary."", ""Clear preservation of the exact confidence scores alongside confidence labels for each top state."", ""A direct statement that national risk level is high, tied explicitly to the structured field."", ""A concise summary of the top-state ordering by case count or risk level without adding unsupported interpretation.""]"
2,grounded,2.086,high,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,[],94.25,True,5,[],[]
3,baseline,5.78,high,1.0,0,0,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6,1.0,0.0,1.0,0,"[""The report states 'Confidence is generally strong' and 'no major reliability flags,' which is broadly consistent with High confidence labels, but it also implies broader reliability assessment beyond the provided fields."", ""The report says 'No Low confidence labels appear in the enriched top cohort; all listed states are High confidence,' which is consistent with the input, but it omits explicit preservation of the confidence_score values (1.0) for each state."", ""The report introduces uncertainty language about 'emerging low-confidence or incomplete-data signals' despite the structured input showing only High confidence labels and no completeness flags.""]",72.75,False,2,"[""The short-horizon outlook remains elevated, with the top cohort showing mixed signals but no indication of immediate de-escalation."", ""The highest-risk cohort is led by CO, which is wastewater-driven and sits above the national case burden context."", ""WI and PA are lower-risk in the current cohort, but both remain part of the active national picture."", ""Confidence is generally strong for the top cohort, with no major reliability flags in the provided payload."", ""The near-term forecast remains concerning."", ""The cohort’s signal mix suggests continued monitoring is warranted, especially where wastewater-led detection is present."", ""CO is the only state with a wastewater-driven signal, and its normalized burden is the most notable relative to the national average."", ""WI and PA are below the cohort’s highest normalized burden, but both still contribute to the aggregate above-baseline picture when compared with agent2.summary_stats.national_avg_cases_per_100k."", ""Across the top cohort as a whole, cases_per_100k remain elevated enough to keep the group above the national average context."", ""delta_vs_national is positive for the cohort leader and smaller for the lower-risk states, indicating uneven but still relevant excess burden versus the national benchmark."", ""The enriched top cohort spans multiple population settings, so the burden is not confined to a single demographic profile."", ""Population size and density context may help explain why absolute case counts differ across states, but no inference is made here."", ""Population bucket information is included only as descriptive context."", ""No partial data_completeness_flag values are shown in the provided top cohort."", ""The lowest-risk cohort is comparatively stable in aggregate, with lower overall concern than the national high-risk setting and less immediate operational urgency than the leading cohort."", ""It remains useful as a baseline reference for what lower-burden conditions look like in the current snapshot."", ""Watch for wastewater-led changes that could signal early movement before case counts shift."", ""Track whether states already above the national burden stay elevated or begin to converge toward baseline."", ""Keep an eye on any emerging low-confidence or incomplete-data signals that could weaken near-term interpretation.""]","[""Explicit listing of the structured confidence scores (1.0) for CO, WI, and PA."", ""Clear preservation of the exact structured fields for each top state, including risk_level, case_count, mmr_coverage, wastewater_signal, confidence_label, and confidence_score in a compact report format."", ""A direct statement that the structured input contains only three top states: CO, WI, and PA."", ""Avoidance of unsupported references to national averages, normalized burden, cases_per_100k, delta_vs_national, population settings, demographic data, and data_completeness_flag, which are not present in the structured input.""]"
3,grounded,2.458,high,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,[],94.25,True,5,[],[]
4,baseline,4.7,high,1.0,0,0,1.0,0.6666666666666666,1.0,1.0,1.0,0.6,1.0,0.0,1.0,0,"[""The report preserves the High confidence labels for all three states, but it overstates stability by saying the signal is \""relatively stable\"" without any structured evidence beyond confidence labels."", ""The report implies confidence/completeness monitoring and potential shifts, but no completeness or uncertainty fields are provided in the structured input.""]",79.42,False,2,"[""References to a \""short-horizon outlook\"" and \""forecast\"" are unsupported because no forecast values or horizon are present in the structured input."", ""Claims about \""normalized risk context,\"" \""national average cases per 100k,\"" and \""agent2.summary_stats.national_avg_cases_per_100k\"" are unsupported because no such metric or agent summary is provided in the structured input."", ""Statements that the leading state is \""above the national baseline\"" and the others are \""closer to the broader national context\"" are unsupported by the structured input."", ""The \""Population context\"" section claims population buckets and descriptors are unavailable, but population fields are not part of the provided structured input and this framing is extraneous."", ""The \""Demographic note\"" section mentions demographic data, which are not present in the structured input."", ""The \""Data gaps and reliability\"" section claims no partial data_completeness_flag values are present, but no such field exists in the structured input."", ""The \""Low-risk baseline states\"" section introduces a cohort concept and comparative interpretation beyond the provided structured data.""]","[""The report does not explicitly list the three top states with their state codes, risk levels, case counts, MMR coverage, wastewater signal, and confidence labels in a compact structured summary."", ""The report does not clearly preserve the exact MMR coverage values for CO, WI, and PA."", ""The report does not clearly preserve the exact case counts for each top state in the main summary."", ""The report does not explicitly state the national risk level in a direct structured summary format.""]"
4,grounded,2.547,high,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,[],94.25,True,5,[],[]
5,baseline,4.772,high,1.0,0,0,1.0,0.5555555555555556,1.0,1.0,1.0,0.6,1.0,0.0,0.0,0,"[""States are described as having 'high confidence' without preserving the structured confidence labels/scores explicitly; the report does not mention confidence_score=1.0."", ""The report implies reliability/forecast usability beyond the structured confidence labels by stating 'the near-term outlook is usable for monitoring' and 'no indication of immediate de-escalation,' which overstates certainty relative to the input.""]",73.64,False,2,"[""The short-horizon outlook remains elevated, with the top cohort showing mixed signals but no indication of immediate de-escalation in the payload."", ""Overall, the payload supports continued national vigilance rather than a near-term easing."", ""The short-horizon picture is shaped by a small enriched top cohort."", ""Using the provided national average reference from the agent summary is not possible here because it is not present in the supplied JSON."", ""The cohort is therefore best read as a mixed-burden group rather than a uniformly elevated set."", ""The payload does not include population bucket fields for the listed states."", ""No additional population descriptors are available in the structured input."", ""Population context cannot be expanded further from this payload."", ""Demographic data are included for context only and are not used in risk scoring."", ""No partial completeness flags are shown for the enriched top cohort in the provided payload."", ""Watch for wastewater-led changes that could shift the signal before case counts move materially."", ""Monitor whether states already above the national burden remain elevated in the next update."", ""Keep an eye on any newly low-confidence or partially complete data that could weaken near-term interpretation.""]","[""Explicit structured confidence scores (1.0) for CO, WI, and PA are not preserved."", ""The report does not clearly present the exact MMR coverage values from the structured input; it rounds them and does not tie each value to its state."", ""The report does not explicitly list the three top states in a compact structured way with their exact risk levels, case counts, wastewater signals, and confidence labels/scores.""]"
5,grounded,2.377,high,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,[],94.25,True,5,[],[]
